t_ns,type,sensorId,px,py,pz,qx,qy,qz,qw,server_time_iso
93717256256,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.534144+00:00
93783914771,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.620531+00:00
93850581863,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.700168+00:00
93917368486,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.779898+00:00
93983945528,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.779945+00:00
94050632196,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.858963+00:00
94117304175,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:01.938450+00:00
94183976085,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.019083+00:00
94250607289,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.099031+00:00
94317257918,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.167889+00:00
94383911113,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.167976+00:00
94450644778,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.249974+00:00
94517259500,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.329576+00:00
94583974320,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.409376+00:00
94634017691,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.489143+00:00
94700640649,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.489218+00:00
94767339500,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.576343+00:00
94833966856,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.655336+00:00
94900667820,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.736106+00:00
94967409119,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.815652+00:00
95034033510,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.885171+00:00
95083975882,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.885223+00:00
95150617765,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:02.965585+00:00
95217342945,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.045304+00:00
95283995678,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.125852+00:00
95350665103,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.206251+00:00
95417342964,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.206297+00:00
95484033308,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.292623+00:00
95534043958,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.372012+00:00
95600676795,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.451949+00:00
95667376897,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.451996+00:00
95734022537,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.537717+00:00
95800712100,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.601664+00:00
95867401032,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.683507+00:00
95933998632,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.763281+00:00
96000673618,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.843253+00:00
96067365805,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:03.909148+00:00
96134025753,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.169620+00:00
96200675320,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.169666+00:00
96267434413,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.169707+00:00
96334117093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.459805+00:00
96400800886,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.459850+00:00
96450680139,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.459889+00:00
96517629006,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.459928+00:00
96584217801,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.459967+00:00
96650930907,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.516352+00:00
96717494374,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.516398+00:00
96784207681,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.779271+00:00
96850890661,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.779316+00:00
96900884900,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:04.779360+00:00
96967715017,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.098880+00:00
97034275056,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.098927+00:00
97100982883,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.098967+00:00
97167637030,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.099007+00:00
97234304691,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.099046+00:00
97300971132,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.345616+00:00
97350983405,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.345665+00:00
97417649172,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.345706+00:00
97484301184,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.345747+00:00
97550953898,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.345786+00:00
97617624565,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.430045+00:00
97684332302,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.649538+00:00
97750984775,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.649588+00:00
97801003681,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.649629+00:00
97867696399,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.728960+00:00
97934351076,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:05.729029+00:00
98001032174,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.045716+00:00
98067643319,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.045768+00:00
98134366895,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.045814+00:00
98201074011,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.255801+00:00
98267769516,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.255847+00:00
98334366434,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.255891+00:00
98400990324,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.366523+00:00
98467680337,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.366570+00:00
98534354843,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.366610+00:00
98601049985,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.445921+00:00
98667727184,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.526199+00:00
98717724740,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.526246+00:00
98784395487,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.608684+00:00
98851029626,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.673571+00:00
98917712917,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.752895+00:00
98984308354,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.832774+00:00
99051042490,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.913343+00:00
99117676639,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.913388+00:00
99167707576,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:06.993685+00:00
99234412148,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.082754+00:00
99301048962,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.163045+00:00
99367701975,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.163092+00:00
99434374417,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.242950+00:00
99501054741,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.322560+00:00
99567749705,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.390487+00:00
99634391838,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.470869+00:00
99701076001,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.552751+00:00
99767747490,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.552801+00:00
99834404682,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.633477+00:00
99901101648,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.713567+00:00
99967774329,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.798401+00:00
100034443263,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.877969+00:00
100084423907,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.878016+00:00
100151126013,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:07.961354+00:00
100217786733,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.042114+00:00
100284466467,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.107381+00:00
100351072953,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.186701+00:00
100417972038,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.266322+00:00
