pc_time,device_ts,values
2025-12-18 12:50:50.485,1704067300,"65,151,0,0,0,0,0,0,0,0,0,0,114,173,47,1,0"
2025-12-18 12:50:51.434,1704067301,"65,151,0,0,0,0,0,0,0,0,0,0,110,182,45,1,0"
2025-12-18 12:50:52.584,1704067302,"65,151,0,0,783,835,0,0,0,0,0,0,107,183,46,1,0"
2025-12-18 12:50:53.484,1704067303,"65,151,0,0,0,0,0,0,0,0,0,0,107,182,49,1,0"
2025-12-18 12:50:54.533,1704067304,"65,151,0,0,0,0,0,0,0,0,0,0,201,109,63,1,0"
2025-12-18 12:50:55.584,1704067305,"65,151,0,0,0,0,0,0,0,0,0,0,192,118,39,1,0"
2025-12-18 12:50:56.634,1704067306,"65,151,0,0,0,0,0,0,0,0,0,0,210,108,40,1,0"
2025-12-18 12:50:57.584,1704067307,"65,151,0,0,0,0,0,0,0,0,0,0,196,122,32,1,0"
2025-12-18 12:50:58.634,1704067308,"65,151,0,0,0,0,0,0,0,0,0,0,195,111,38,1,0"
2025-12-18 12:50:59.684,1704067309,"65,151,0,0,0,0,0,0,0,0,0,0,195,121,38,1,0"
2025-12-18 12:51:00.685,1704067310,"65,151,0,0,0,0,0,0,0,0,0,0,174,135,19,1,0"
2025-12-18 12:51:01.734,1704067311,"65,151,0,0,0,0,0,0,0,0,0,0,201,113,48,1,0"
2025-12-18 12:51:02.785,1704067312,"65,151,0,0,0,0,0,0,0,0,0,0,134,168,2,1,0"
